"","V1"
"1710",33
"1711",32
"1712",33
"1713",33
"1714",32
"1715",33
"1716",29
"1717",32
"1718",47
"1719",33
"1720",24
"1721",33
"1722",47
"1723",37
"1724",12
"1725",47
"1726",32
"1727",35
"1728",29
"1729",32
"1730",4
"1731",32
"1732",33
"1733",21
"1734",33
"1735",32
"1736",32
"1737",12
"1738",32
"1739",33
"1740",33
"1741",33
"1742",33
"1743",32
"1744",33
"1745",33
"1746",33
"1747",32
"1748",33
"1749",27
"1750",21
"1751",12
"1752",33
"1753",32
"1754",32
"1755",4
"1756",29
"1757",32
"1758",27
"1759",33
"1760",32
"1761",12
"1762",33
"1763",29
"1764",32
"1765",47
"1766",37
"1767",29
"1768",32
